Geography,Improved water source,Water piped into dwelling,Water piped into yard/plot,Public tap/standpipe,Water piped to neighbor,Tubewell/borehole,Protected well,Protected spring,Rainwater, Bottled water/demi john,Unimproved water source,Unprotected well water,Unprotected spring,Tanker truck,Cart with tank,Sachet water,Unimproved bottled water,Surface water,Other water source
Nigeria,62,1.9,1.6,7.5,0.7,36.6,11.1,0.4,1.7,0.4,37.9,16.6,1.6,0.8,2.6,7.2,0,9.1,0.1
Urban,70.6,3.6,2.2,7.4,1.1,41.1,11.5,0.6,2.2,0.9,29.2,4.4,0.9,1.3,4.2,14.8,0,3.6,0.2
Rural,55.4,0.6,1.2,7.5,0.4,33.1,10.8,0.4,1.4,0.1,44.6,25.9,2.2,0.4,1.3,1.4,0,13.3,0.1
North Central,62.9,1.5,1.4,2.9,0.4,36.3,17.2,0.1,2.9,0.1,37.1,12.4,2.8,0.3,0.6,4.2,0,16.8,0
North East,53.6,2.3,0.5,12,0.8,30.6,6.9,0.1,0.3,0,46.4,25.6,4,1.3,5.2,0.8,0,9.4,0
North West,55.5,2.2,3.2,6.7,1,30.6,11.4,0.2,0,0.1,44.3,32,0.2,0.1,5.1,2.3,0,4.5,0.2
South East,77.7,0.7,0.7,2.8,0,58.7,4.4,2.2,7.7,0.3,22.3,0.6,3.9,3.1,0,6,0,8.7,0
South West,65.9,1.4,0.5,7,0.4,35.2,18.6,0.6,0.3,1.8,33.9,0.9,0.3,0.5,0,25.1,0,7.1,0.1
South South,71.4,2.9,1.8,13.3,1,43.7,4.7,0.1,3.5,0.5,28.4,2.3,0.3,0.5,0,10,0,15.3,0.2
FCT Abuja,57.8,16.5,1.5,14.8,0.6,20.9,2.8,0,0.1,0.6,42,1.7,0,2.9,7.7,14.9,0,14.7,0.3
Benue,73,0,0,2.7,0.1,10.2,50.6,0.1,9.2,0,27,4.1,7.6,0.2,0,5.7,0,9.5,0
Kogi,65.3,0.2,1.5,4.2,1.2,30,21.6,0,6.7,0,34.7,4.1,0.9,0,0,3.9,0,25.7,0
Kwara,63.1,1.9,0.8,5.2,0.2,46.3,8.4,0,0.2,0.1,36.9,5.1,0,0.3,0,5.6,0,25.9,0
Nasarawa,74.1,1,1.8,1.3,0.9,56.5,12,0.1,0.3,0.2,25.9,8.5,0.1,0,0.7,5,0,11.6,0
Niger,60.6,1.1,3.1,1.4,0.4,50.2,4.1,0,0.4,0,39.4,15.9,2,0.3,0,0.6,0,20.5,0
Plateau,44.7,0,0.7,0.1,0.4,34.8,6.9,0.5,0.9,0.3,55.3,35.6,4,0,0.7,3.1,0,11.9,0
Adamawa,51.5,0.2,0.6,25,0.5,11.6,13.1,0.4,0.1,0,48.5,25.3,6.3,0,0,1.1,0,15.7,0
Bauchi,58.1,2.2,0.3,12.5,0.4,31.2,10.9,0.2,0.3,0,41.9,27.6,5.5,0.2,4.2,0.4,0,4,0
Borno,58.8,4.5,1.5,5.5,2.5,44.5,0.4,0,0,0,41.2,23.3,0,3.1,9.6,0,0,5.2,0
Gombe,35.7,1.4,0,0.6,0.8,25.4,6.2,0,1.3,0,64.3,31.4,0.5,5,2.2,1.6,0,23.5,0
Taraba,38.6,0.5,0,1,0,21.4,14.8,0,0.8,0.1,61.4,12.2,15.9,0.3,5.5,3.5,0.2,23.8,0
Yobe,62.7,3,0.3,22.3,0.3,35.6,1.1,0,0,0,37.3,30.5,0.3,0.2,6.2,0,0,0.3,0
Jigawa,82.2,1.9,14.5,9.7,1.7,53.1,1.3,0,0,0,17.8,16.1,0,0,1,0.7,0,0,0
Kaduna,66,2.9,1.2,5.6,0.8,12.7,42.3,0.4,0,0.2,34,30.2,0.1,0,0.1,3.1,0,0.6,0
Kano,51.2,3.6,1,5.3,0.6,37.7,2.6,0.1,0,0.4,48.8,32.7,0,0.1,7.2,6.6,0,2.1,0
Katsina,46.5,0.9,3,5.9,1.9,33,1.7,0,0.1,0,53.5,28.6,0,0,17,0.2,0,7.6,0
Kebbi,47.9,0.6,1.7,7.7,0.6,21.5,14.9,0.9,0,0,52.1,41.5,1.8,0.8,0,0,0,8,0
Sokoto,33.6,3.1,3,4.9,1.1,15.8,5.6,0,0,0,63.5,62.2,0,0.2,0.6,0.6,0,0,2.9
Zamfara,56.2,1.5,0.4,10.5,0.4,35.2,8.1,0.1,0,0,43.8,26.5,0,0,0,1.1,0,16.2,0
Abia,89.5,0,0.6,0,0,83.1,0,5.4,0.1,0.4,10.5,0,2.1,0,0,1.4,0,7,0
Anambra,75.9,1.4,1,2.5,0,59.4,5.1,2.6,3.3,0.7,24.1,0,4.2,2.6,0,11.3,0,6,0
Ebonyi,76.6,0.1,0,0.5,0,53.3,6.9,2.3,13.4,0,23.4,2.1,6.4,0,0,1.3,0,13.6,0
Enugu,58.5,0.3,1.9,11.3,0.2,16.2,5.9,1.7,20.9,0.2,41.5,0.7,5.6,13.8,0,6.7,0.1,14.5,0
Imo,89.4,1,0.1,0.3,0,83.2,2.4,0.1,2,0.2,10.5,0.1,0.7,0.1,0,5.7,0,3.8,0.1
Ekiti,79.8,1.2,0.1,7.9,0.1,41.9,19.6,8,0.6,0.4,20.1,0.1,0,0.5,0,6.6,0,12.9,0.1
Lagos,49,2,0.5,8,0.3,32.5,1.6,0,0,4.1,50.7,0.4,0,1.2,0,49.1,0.1,0,0.3
Ogun,74,3.2,1.3,9,1.7,50.3,7.3,0,0.4,0.7,26,2.8,2.1,0,0,14.5,0,6.6,0
Ondo,65.6,0.3,0.3,6.8,0,32.5,24,0,1.4,0.3,34.4,2.7,0,0,0,12.4,0,19.3,0
Osun,81,0.2,0.1,10.3,0.1,36.2,32.3,0.6,0.7,0.7,19,0.3,0,0.1,0,5.7,0,12.9,0
Oyo,77.2,0.6,0.4,1.8,0.4,28.7,45,0,0,0.4,22.6,0.3,0.3,0,0,13.2,0,8.7,0.2
Akwa Ibom,77.3,3.4,2.2,23.3,3.9,42.9,0.1,0.3,0.8,0.5,22.7,0,1.1,0,0,2.6,0,18.9,0
Bayelsa,52.8,2.6,0.2,13.9,0.1,25.3,0.4,0.1,9.8,0.4,47.2,3.3,0.8,0,0,15.9,0,27.2,0
Cross River,53.6,0.3,0.8,24.7,0.6,16.1,3.2,0.3,7.5,0.1,46.4,1.4,0,0,0,4.5,0.1,40.5,0
Delta,75.3,6.2,0.9,17.2,0,40.8,8.7,0,1,0.5,23.9,5.1,0,0,0.1,5.6,0,13,0.9
Edo,70.3,3.2,0.8,0.1,0,45,11.4,0,9.4,0.5,29.6,0.5,0,3.5,0,14.6,0,10.9,0.1
Rivers,77,1.1,3.4,5,0.7,61.7,3.4,0,1.1,0.6,23,2.8,0,0,0,16.6,0,3.5,0